all_riders,rider_class,stage,points,stage_class
Tadej Pogačar,All Rounder,X1,15,Flat
Tadej Pogačar,All Rounder,X2,219,Hills
Tadej Pogačar,All Rounder,X3,34,Flat
Tadej Pogačar,All Rounder,X4,264,Hills
Tadej Pogačar,All Rounder,X6,114,Hills
Tadej Pogačar,All Rounder,X7,274,Hills
Tadej Pogačar,All Rounder,X8,50,Flat
Tadej Pogačar,All Rounder,X9,50,Flat
Tadej Pogačar,All Rounder,X10,109,Hills
Tadej Pogačar,All Rounder,X11,39,Hills
Tadej Pogačar,All Rounder,X12,304,Mount
Tadej Pogačar,All Rounder,X14,255,Mount
Tadej Pogačar,All Rounder,X15,58,Hills
Tadej Pogačar,All Rounder,X16,184,Mount
Tadej Pogačar,All Rounder,X17,54,Flat
Tadej Pogačar,All Rounder,X18,284,Mount
Tadej Pogačar,All Rounder,X19,234,Mount
Tadej Pogačar,All Rounder,X20,54,Hills
Tadej Pogačar,All Rounder,X21,194,Flat
Jonas Vingegaard,All Rounder,X1,13,Flat
Jonas Vingegaard,All Rounder,X2,190,Hills
Jonas Vingegaard,All Rounder,X3,30,Flat
Jonas Vingegaard,All Rounder,X4,196,Hills
Jonas Vingegaard,All Rounder,X6,85,Hills
Jonas Vingegaard,All Rounder,X7,212,Hills
Jonas Vingegaard,All Rounder,X8,34,Flat
Jonas Vingegaard,All Rounder,X9,30,Flat
Jonas Vingegaard,All Rounder,X10,94,Hills
Jonas Vingegaard,All Rounder,X11,26,Hills
Jonas Vingegaard,All Rounder,X12,243,Mount
Jonas Vingegaard,All Rounder,X14,219,Mount
Jonas Vingegaard,All Rounder,X15,43,Hills
Jonas Vingegaard,All Rounder,X16,156,Mount
Jonas Vingegaard,All Rounder,X17,40,Flat
Jonas Vingegaard,All Rounder,X18,256,Mount
Jonas Vingegaard,All Rounder,X19,251,Mount
Jonas Vingegaard,All Rounder,X20,46,Hills
Jonas Vingegaard,All Rounder,X21,54,Flat
Remco Evenepoel,All Rounder,X1,0,Flat
Remco Evenepoel,All Rounder,X2,19,Hills
Remco Evenepoel,All Rounder,X3,8,Flat
Remco Evenepoel,All Rounder,X4,107,Hills
Remco Evenepoel,All Rounder,X6,62,Hills
Remco Evenepoel,All Rounder,X7,136,Hills
Remco Evenepoel,All Rounder,X8,26,Flat
Remco Evenepoel,All Rounder,X9,34,Flat
Remco Evenepoel,All Rounder,X10,57,Hills
Remco Evenepoel,All Rounder,X11,22,Hills
Remco Evenepoel,All Rounder,X12,121,Mount
Remco Evenepoel,All Rounder,X14,0,Mount
Remco Evenepoel,All Rounder,X15,0,Hills
Remco Evenepoel,All Rounder,X16,0,Mount
Remco Evenepoel,All Rounder,X17,0,Flat
Remco Evenepoel,All Rounder,X18,0,Mount
Remco Evenepoel,All Rounder,X19,0,Mount
Remco Evenepoel,All Rounder,X20,0,Hills
Remco Evenepoel,All Rounder,X21,0,Flat
João Almeida,All Rounder,X1,0,Flat
João Almeida,All Rounder,X2,41,Hills
João Almeida,All Rounder,X3,10,Flat
João Almeida,All Rounder,X4,137,Hills
João Almeida,All Rounder,X6,22,Hills
João Almeida,All Rounder,X7,20,Hills
João Almeida,All Rounder,X8,12,Flat
João Almeida,All Rounder,X9,12,Flat
João Almeida,All Rounder,X10,0,Hills
João Almeida,All Rounder,X11,0,Hills
João Almeida,All Rounder,X12,0,Mount
João Almeida,All Rounder,X14,0,Mount
João Almeida,All Rounder,X15,0,Hills
João Almeida,All Rounder,X16,0,Mount
João Almeida,All Rounder,X17,0,Flat
João Almeida,All Rounder,X18,0,Mount
João Almeida,All Rounder,X19,0,Mount
João Almeida,All Rounder,X20,0,Hills
João Almeida,All Rounder,X21,0,Flat
Primož Roglič,All Rounder,X1,0,Flat
Primož Roglič,All Rounder,X2,0,Hills
Primož Roglič,All Rounder,X3,0,Flat
Primož Roglič,All Rounder,X4,20,Hills
Primož Roglič,All Rounder,X6,19,Hills
Primož Roglič,All Rounder,X7,32,Hills
Primož Roglič,All Rounder,X8,12,Flat
Primož Roglič,All Rounder,X9,12,Flat
Primož Roglič,All Rounder,X10,32,Hills
Primož Roglič,All Rounder,X11,12,Hills
Primož Roglič,All Rounder,X12,86,Mount
Primož Roglič,All Rounder,X14,99,Mount
Primož Roglič,All Rounder,X15,19,Hills
Primož Roglič,All Rounder,X16,90,Mount
Primož Roglič,All Rounder,X17,24,Flat
Primož Roglič,All Rounder,X18,131,Mount
Primož Roglič,All Rounder,X19,62,Mount
Primož Roglič,All Rounder,X20,17,Hills
Primož Roglič,All Rounder,X21,17,Flat
Jasper Philipsen,Sprinter,X1,272,Flat
Jasper Philipsen,Sprinter,X2,47,Hills
Jasper Philipsen,Sprinter,X3,10,Flat
